Campaign Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
Power Supply all,"₹24,532.22","₹7,139.77","2,969","1,068","95,939","38,566"
Component Testing- Targeted States,"₹16,475.57","₹1,437.68","1,955",336,"2,051",382
Hantek,"₹14,363.98","₹1,830.89","1,423",306,"1,709",533
YIHUA,"₹9,407.04",₹0.00,"3,158",0,"4,278",0
UNI-T,"₹9,855.77",₹459.41,"2,164",256,"2,164",256
Oscilloscope- Targeted States,"₹15,275.23","₹7,727.54","2,025","1,767","2,912","2,429"
Multimeters- Targeted States,"₹6,226.86",₹691.26,"3,588",381,"3,826",502
Target All- All Products,"₹4,674.64",₹545.36,"2,808",293,"2,839",423
Soldering Station- Targeted States,"₹7,415.28","₹3,818.86","3,719","1,411","3,950","3,751"
UNI-T Instruments,"₹3,553.51",₹0.00,941,0,"7,156",0
Rishabh,"₹3,131.06",₹0.00,863,0,885,0
Fume extractors,"₹3,105.10",₹52.37,444,32,"5,980",58
Function Generator - All,"₹6,790.98","₹3,849.35","1,996","2,063","2,415","2,285"
Temperature Meter,"₹2,922.79",₹0.00,157,0,"16,564",0
INSULATION & ELECTRICAL TESTER- Targeted States,"₹3,042.36",₹905.69,"2,712","1,212","2,713","1,333"
Soldering Station new,₹0.00,"₹2,125.00",0,"4,115",0,"4,178"
Clamp Meter- Targeted States,₹422.46,"₹2,351.67",376,"4,408",377,"4,626"
Shield Plus,"₹1,842.29",₹0.00,450,0,462,0
Power Supply PA - 8/FEB/24 Ravi,₹0.00,"₹1,583.14",0,217,0,270
Oscilloscope PA - 3/FEB/24 Ravi,₹0.00,"₹1,415.60",0,242,0,351
Targeted states- Multimeter,₹210.69,"₹1,531.02",32,204,32,449
Ingersoll Rand,"₹1,132.14",₹0.00,115,0,128,0