Search,Cost,Clicks,Impressions,Conversions
uni t multimeter,₹56.25,32,"2,030",0
toolworld,₹54.66,10,"1,939",0
thermal camera,₹149.68,10,"1,912",0
multimeter,₹13.29,5,"1,114",0
oscilloscope,₹36.17,5,"1,087",0
tool world,₹195.85,8,968,0
lcr meter,₹21.33,7,937,0
unit multimeter,₹17.32,21,833,0
uni t clamp meter,₹68.53,21,677,0
thermal imaging camera,₹23.33,2,511,0
electronic load,₹44.88,8,501,0
clamp meter,₹18.81,6,471,0
function generator,₹10.81,2,468,0
uni t,₹16.77,6,465,0
dso oscilloscope,₹5.44,3,423,0
earth tester,₹4.89,2,356,0
dft meter,₹0.00,0,340,0
uni t ut33d+,₹9.83,10,332,0
unity multimeter,₹11.14,10,330,0
coating thickness gauge,₹0.00,0,304,0
dc electronic load,₹82.77,6,301,0
ultrasonic thickness gauge,₹3.62,1,301,0
dc clamp meter,₹16.29,2,297,0
paint thickness gauge,₹10.60,3,295,0
unit t multimeter,₹7.77,9,294,0
micro ohm meter,₹18.43,4,277,0
digital oscilloscope,₹8.78,3,274,0
ac dc clamp meter,₹7.53,3,264,0
earth resistance tester,₹18.74,3,262,0
uni t oscilloscope,₹36.35,8,253,0
toolsworld,₹2.94,1,248,0
uni t power supply,₹35.11,11,242,0
oscilloscope price,₹3.09,1,224,0
tools world,₹10.29,4,223,0
unit clamp meter,₹6.14,2,210,0
digital storage oscilloscope,₹0.00,0,207,0
uni t utl8212,₹9.33,9,205,0
digital multimeter,₹10.67,5,202,0
leakage current clamp meter,₹13.49,5,202,0
benchtop multimeter,₹16.99,4,192,0
thermal imager,₹19.21,4,190,0
toolworld in,₹0.00,0,189,0
uni t utd2102cex+,₹33.36,5,187,0
dc power supply,₹0.00,0,186,0
wire tracker,₹1.69,1,185,0
insulation tester,₹0.92,1,181,0
rigol oscilloscope,₹3.86,1,170,0
uni t multimeter price,₹3.03,4,170,0
thermal scanner,₹0.00,0,166,0
uni t ut61e+,₹27.83,12,166,0
unit oscilloscope,₹0.59,1,162,0
bench multimeter,₹11.57,3,161,0
ut61e+,₹43.82,12,161,0
thermal scanner for water leakage,₹0.00,0,160,0
uni t ut210e,₹0.00,0,155,0
fluke clamp meter,₹0.00,0,147,0
thermal camera price,₹0.00,0,147,0
thickness gauge,₹0.00,0,141,0
ut89x,₹2.98,2,139,0
refrigerant leak detector,₹41.24,4,138,0
ut210e,₹11.99,8,136,0
4 channel oscilloscope,₹12.39,3,135,0
bench power supply,₹0.00,0,134,0
rigol dho814,₹6.60,2,132,0
digital earth tester,₹2.82,1,129,0
fluke multimeter,₹16.30,2,128,0
programmable power supply,₹7.85,2,127,0
unit multimeter price,₹1.16,3,127,0
ut61b+,₹9.54,4,126,0
bench top multimeter,₹5.78,2,124,0
earth leakage tester,₹1.90,1,124,0
signal generator,₹3.21,1,123,0
leakage current tester,₹12.42,3,121,0
uni t thermal camera,₹33.12,4,121,0
unit t clamp meter,₹0.00,0,121,0
elcb tester,₹9.75,3,120,0
hipot tester,₹6.04,5,119,0
electronic load tester,₹0.00,0,116,0
uni t dso,₹9.74,3,116,0
uni t ut139c,₹3.76,3,116,0
uni t multimeter auto range,₹2.79,7,114,0
uni t ut203+,₹2.94,3,114,0
smd tester,₹0.35,1,111,0
true rms multimeter,₹1.49,1,109,0
unity clamp meter,₹2.42,1,109,0
ut33d+,₹4.40,5,108,0
uni t dc power supply,₹0.00,0,107,0
uni t lcr meter,₹29.81,6,107,0
lan tester,₹5.12,1,105,0
dso,₹0.00,0,104,0
keysight oscilloscope,₹0.00,0,103,0
rigol dso,₹24.19,1,103,0
unit dso,₹9.06,2,103,0
multimeter unit,₹1.53,2,100,0
uni t ut117c,₹24.16,6,100,0
rigol ds1054z,₹0.00,0,98,0
esr meter,₹44.59,5,97,0
insulation resistance tester,₹0.00,0,96,0
toolworld india,₹0.00,0,96,0
rcd tester,₹1.03,2,95,0