Campaign Name,Campaign Group Name,Campaign Status,Cost,Clicks,CTR
Campaign Name,,Enabled,"₹24,532.22","2,969",1.03%
Campaign Name,,Paused,"₹16,475.57","1,955",4.97%
Campaign Name,,Paused,"₹15,275.23","2,025",1.92%
Campaign Name,,Enabled,"₹14,363.98","1,423",2.97%
Campaign Name,,Enabled,"₹9,855.77","2,164",1.88%
Campaign Name,,Enabled,"₹9,407.04","3,158",4.43%
Campaign Name,,Paused,"₹7,415.28","3,719",3.66%
Campaign Name,,Paused,"₹6,790.98","1,996",4.25%
Campaign Name,,Paused,"₹6,226.86","3,588",4.65%
Campaign Name,,Enabled,"₹4,674.64","2,808",4.03%
Campaign Name,,Enabled,"₹3,553.51",941,2.43%
Campaign Name,,Paused,"₹3,131.06",863,7.12%
Campaign Name,,Enabled,"₹3,105.10",444,2.26%
Campaign Name,,Paused,"₹3,042.36","2,712",3.95%
Campaign Name,,Paused,"₹2,922.79",157,0.43%
Campaign Name,,Paused,"₹1,842.29",450,4.47%
Campaign Name,,Paused,"₹1,276.05",429,3.55%
Campaign Name,,Paused,"₹1,132.14",115,8.93%
Campaign Name,,Paused,₹908.57,892,5.62%
Campaign Name,,Enabled,₹610.90,71,2.23%
Campaign Name,,Paused,₹422.46,376,3.51%
Campaign Name,,Paused,₹397.71,65,9.31%
Campaign Name,,Paused,₹210.69,32,10.53%
Function Generator,,Enabled,₹146.49,19,3.33%